tag-local-identifier,date,timestamp,location-lat,location-long
3963,2017-09-18,2017-09-18 02:00:23.000,15.4338382,34.4932004
3963,2017-09-19,2017-09-19 02:00:23.000,15.4400731,34.4848588
3963,2017-09-20,2017-09-20 02:00:23.000,15.4024683,34.4343553
3963,2017-09-21,2017-09-21 02:00:23.000,15.2447096,33.0535344
3963,2017-09-22,2017-09-22 02:00:23.000,15.4420046,33.8974347
3963,2017-09-23,2017-09-23 02:00:23.000,16.1186049,35.1646519
3963,2017-09-24,2017-09-24 02:00:23.000,15.9680241,35.1894137
3963,2017-09-25,2017-09-25 02:00:23.000,15.8732754,34.9825698
3963,2017-09-26,2017-09-26 02:00:23.000,15.7838313,35.1445972
3963,2017-09-27,2017-09-27 02:00:23.000,15.7890792,35.1485047
3963,2017-09-28,2017-09-28 02:00:23.000,15.3389722,35.1872216
3963,2017-09-29,2017-09-29 02:00:23.000,15.2918283,35.116973
3963,2017-09-30,2017-09-30 02:00:23.000,15.3690099,35.2268261
3963,2017-10-01,2017-10-01 02:00:23.000,15.974353,35.3102324
3963,2017-10-02,2017-10-02 02:00:23.000,15.3247465,35.1850512
3963,2017-10-03,2017-10-03 02:00:23.000,15.2309973,35.1099382
3963,2017-10-04,2017-10-04 02:00:23.000,14.9736468,34.6180753
3963,2017-10-05,2017-10-05 02:00:23.000,15.1372327,35.1860016
3963,2017-10-06,2017-10-06 04:40:23.000,16.7973095,36.0804022
3963,2017-10-07,2017-10-07 02:00:23.000,16.3636229,35.1581534
3963,2017-10-08,2017-10-08 02:00:23.000,15.7362133,35.7337639
3963,2017-10-09,2017-10-09 02:00:23.000,15.0058499,34.0756478
3963,2017-10-10,2017-10-10 02:00:23.000,13.5784501,32.9341887
3963,2017-10-11,2017-10-11 02:00:23.000,12.1784694,31.1898126
3963,2017-10-12,2017-10-12 02:00:23.000,12.650987,32.8702726
3963,2017-10-13,2017-10-13 02:00:23.000,12.696775,32.9348578
3963,2017-10-14,2017-10-14 02:00:23.000,14.3042114,34.3777976
3963,2017-10-15,2017-10-15 02:00:23.000,14.2902498,34.378361
3963,2017-10-16,2017-10-16 02:00:23.000,14.2950905,34.4512799
3963,2017-10-17,2017-10-17 02:00:41.000,14.2943267,34.4425464
3963,2017-10-18,2017-10-18 02:00:23.000,14.3043684,34.4477526
3963,2017-10-19,2017-10-19 02:00:23.000,14.2946431,34.4378213
3963,2017-10-20,2017-10-20 02:00:23.000,14.2947924,34.4422211
3963,2017-10-21,2017-10-21 02:00:23.000,14.2941324,34.4444878
3963,2017-10-22,2017-10-22 02:00:23.000,14.2941663,34.4441182
3963,2017-10-23,2017-10-23 02:00:23.000,14.8930719,34.058578
3963,2017-10-24,2017-10-24 02:00:23.000,14.2944398,34.4429711
3963,2017-10-25,2017-10-25 02:00:23.000,14.2961528,34.4422293
3963,2017-10-26,2017-10-26 02:00:23.000,14.2956619,34.4421764
3963,2017-10-27,2017-10-27 02:00:23.000,14.295571,34.4421923
3963,2017-10-28,2017-10-28 02:00:23.000,14.2949854,34.4423285
3963,2017-10-29,2017-10-29 02:00:23.000,14.2962461,34.4417015
3963,2017-10-30,2017-10-30 02:00:23.000,14.2860128,34.4187892
3963,2017-10-31,2017-10-31 02:00:23.000,14.2900479,34.4202944
3963,2017-11-01,2017-11-01 02:00:23.000,14.2971055,34.441772
3963,2017-11-02,2017-11-02 02:00:23.000,14.2980992,34.4413674
3963,2017-11-03,2017-11-03 02:00:23.000,14.2823351,34.4295758
3963,2017-11-04,2017-11-04 02:00:23.000,14.2761966,34.4296236
3963,2017-11-05,2017-11-05 02:00:23.000,14.2873238,34.4158481
3963,2017-11-06,2017-11-06 02:00:23.000,14.2541589,34.4131782
3963,2017-11-07,2017-11-07 02:00:23.000,14.2291713,34.42418
3963,2017-11-08,2017-11-08 02:00:23.000,14.6994666,33.9712802
3963,2017-11-09,2017-11-09 02:00:23.000,14.8293839,34.0600341
3963,2017-11-10,2017-11-10 02:00:23.000,14.2523842,34.389111
3963,2017-11-11,2017-11-11 02:00:23.000,14.2587088,34.386052
3963,2017-11-12,2017-11-12 02:00:23.000,14.2592344,34.3917558
3963,2017-11-13,2017-11-13 02:00:23.000,14.2582926,34.3945344
3963,2017-11-14,2017-11-14 02:00:23.000,14.2571033,34.3961782
3963,2017-11-15,2017-11-15 02:00:23.000,14.2611965,34.3902058
3963,2017-11-16,2017-11-16 02:00:23.000,14.2624248,34.3739392
3963,2017-11-17,2017-11-17 02:00:23.000,14.2615007,34.3734611
3963,2017-11-18,2017-11-18 02:00:23.000,14.3023095,34.5068125
3963,2017-11-19,2017-11-19 02:00:23.000,14.2086803,35.1135659
3963,2017-11-20,2017-11-20 02:00:23.000,14.0333031,36.3272205
3963,2017-11-21,2017-11-21 02:00:23.000,13.5926294,38.9233079
3963,2017-11-22,2017-11-22 02:00:23.000,12.7277166,39.7794641
3963,2017-11-23,2017-11-23 02:00:23.000,10.7259005,40.7220397
3963,2017-11-24,2017-11-24 02:00:23.000,8.8239352,42.8076516
3963,2017-11-25,2017-11-25 02:00:23.000,6.1335823,43.4118991
3963,2017-11-26,2017-11-26 02:00:23.000,4.1075792,42.4135116
3963,2017-11-27,2017-11-27 02:00:23.000,1.7739133,39.7524782
3963,2017-11-28,2017-11-28 02:00:23.000,1.619852,39.4066265
3963,2017-11-29,2017-11-29 02:00:23.000,1.6520469,39.3517213
3963,2017-11-30,2017-11-30 02:00:22.999,1.9217086,39.0972984
4009,2016-06-23,2016-06-23 17:59:11.000,42.5252668,21.1141253
4009,2016-06-24,2016-06-24 02:00:23.000,42.5253127,21.1141659
4009,2016-06-25,2016-06-25 02:00:23.000,42.5252942,21.1141872
4009,2016-06-26,2016-06-26 02:00:23.000,42.5252873,21.1141821
4009,2016-06-27,2016-06-27 02:00:23.000,42.5252729,21.1141832
4009,2016-06-28,2016-06-28 02:00:23.000,42.5252796,21.1141712
4009,2016-06-29,2016-06-29 02:00:23.000,42.5252926,21.1141723
4009,2016-06-30,2016-06-30 02:00:23.000,42.5252918,21.1141687
4009,2016-07-01,2016-07-01 02:00:23.000,42.5252787,21.1141647
4009,2016-07-02,2016-07-02 02:00:23.000,42.5252902,21.1141941
4009,2016-07-03,2016-07-03 02:00:23.000,42.5253016,21.1141541
4009,2016-07-04,2016-07-04 02:00:23.000,42.5253252,21.1141364
4009,2016-07-05,2016-07-05 02:00:23.000,42.5252748,21.1141853
4009,2016-07-06,2016-07-06 02:00:23.000,42.5252799,21.1141724
4009,2016-07-07,2016-07-07 02:00:23.000,42.5252879,21.1141797
4009,2016-07-08,2016-07-08 02:00:23.000,42.5252997,21.114173
4009,2016-07-09,2016-07-09 02:00:23.000,42.52529,21.1141516
4009,2016-07-10,2016-07-10 02:00:23.000,42.5252898,21.1141805
4009,2016-07-11,2016-07-11 02:00:23.000,42.5253029,21.1141749
4009,2016-07-12,2016-07-12 02:00:23.000,42.525305,21.1141617
4009,2016-07-13,2016-07-13 02:00:23.000,42.5252931,21.1142039
4009,2016-07-14,2016-07-14 02:00:23.000,42.5252833,21.1141875
4009,2016-07-15,2016-07-15 02:00:23.000,42.5252763,21.114179
4009,2016-07-16,2016-07-16 02:00:23.000,42.5252838,21.1141997
4009,2016-07-17,2016-07-17 02:00:23.000,42.5253027,21.1141862
